Ticker,Date,YearMonth,Gross_Profitability,ROIC,FCF_Yield,Revenue_Growth_YoY,Momentum_6M,Accrual_Ratio,Interest_Coverage,Shares_Outstanding_YoY_Growth,Forward_1yr_Return,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
TOL,2022-03-03,2022-03,0.17857227997570693,0.14759250076137673,0.124467428275506,0.14564954304018984,-0.16731276166847564,0.006393102939157714,,-0.03047755037283828,0.11955307262569814,7.0,0,0,1,0,0,0,0,0,0,0,0,0
COUR,2022-03-03,2022-03,0.26015788760154757,-0.19293390675551203,-0.0003521609494487352,0.3806538396867718,-0.4915471311475409,-0.15039889040681606,-447.071875,,-0.41511335012594464,3.0,0,0,0,1,0,0,0,0,0,0,0,0
FNKO,2022-03-03,2022-03,0.3937879262389884,0.1675497699953139,0.07571642425080083,0.4845900162907435,-0.10866299449173755,-0.016230440629124664,13.320078135900657,0.24141028520098806,-0.4449438202247191,3.0,0,0,1,0,0,0,0,0,0,0,0,0
KIDS,2022-03-03,2022-03,0.2412398035980728,-0.07894423023412966,-0.020359587314362496,0.31119213696892833,-0.24346726608597924,0.016123625416565333,-7.95460614152203,0.008572558201156655,-0.16731662024141125,5.0,0,0,0,0,0,0,1,0,0,0,0,0
DCI,2022-03-03,2022-03,0.41363946533938106,0.24478265882624237,0.033126872883983007,0.18171108820497728,-0.21338289962825285,0.03997912736322402,31.924812030075188,-0.017377567140600347,0.26446124763705114,8.0,0,0,0,0,0,0,0,1,0,0,0,0
PBPB,2022-03-03,2022-03,0.5841089572218909,-0.37761249211630893,-0.08343966331157825,0.3731734031469558,-0.17762237762237765,-0.03894770511418158,-18.011410788381742,0.17151114781172594,0.3503401360544218,8.0,0,0,1,0,0,0,0,0,0,0,0,0
PLPC,2022-03-04,2022-03,0.33995067666220874,0.13006277609858172,0.06463795482605854,0.10920214336947809,-0.14017193647093107,0.03484534311620431,25.64670981661273,0.02062070401999594,1.0015251652262327,9.0,0,0,0,0,0,0,0,0,0,0,1,0
FET,2022-03-04,2022-03,0.1558642599350971,-0.08098962223218033,-0.09306477806921462,0.3114648159131752,0.05387713997985899,-0.0903333097445333,-1.422881064700553,0.025673137132122825,0.47109412326803635,9.0,0,0,0,0,1,0,0,0,0,0,0,0
DY,2022-03-04,2022-03,0.23446151115273928,0.050996220209529826,0.05675431549597241,0.014408557745465789,0.2602606766500277,-0.05117589074621003,2.4590846047156725,-0.031721958155668584,0.13598855759709538,8.0,0,0,0,0,0,0,0,1,0,0,0,0
IRMD,2022-03-04,2022-03,0.38669612835551975,0.13602832584442062,0.017344902677659646,0.38928156574920103,0.32879324434758916,-0.014369034353681817,,0.011923356076083858,-0.2142271422714228,5.0,0,0,0,0,0,0,1,0,0,0,0,0
