Ticker,Current Price,Regular Market Change,52 Week High,52 Week Low,52 Week Change Percent,50 Day Average,200 Day Average,Volume,Market Volume,Beta,Market Cap,Forward PE,Trailing PE,Price to Book,Price To Sales 12 Months,Enterprise Value,Enterprise To EBITA,Enterprise To Revenue,Gross Margins,Profit Margins,Operating Margins,EBITA Margins,Return on Assets,Return on Equity,Net Income to Common,EBITA,Earnings Growth,Total Debt,Debt to Equity,Total Cash,Free Cashflow,Operating Cashflow,Current Ratio,Quick Ratio,Revenue Growth,Total Cash Per Share,Recommendation Mean,Target Mean Price
PECO,34.8,-0.40068513,40.12,32.4,-10.479116,34.5606,35.119125,605643,605643,0.515,4820252160.0,62.142857,52.72727,1.9206358,6.7721,7078632960.0,16.036,9.945,0.71199,0.11509,0.28407,0.62018,0.023510002,0.03511,81920000.0,441433984.0,1.076,2385326080.0,92.464,4076000.0,175100368.0,336088000.0,1.167,0.875,0.104,0.032,2.07692,39.16667
PEGA,60.09,0.46814707,68.1,29.835,33.8181,58.5424,49.7962,1323182,1323182,1.078,10198641664.0,18.661491,39.27451,17.168571,5.8872566,9876583424.0,31.192,5.701,0.75738996,0.16045,0.03793,0.18278,0.13185,0.51961,277952992.0,316643008.0,,76826000.0,12.872,351361984.0,454655136.0,442024992.0,1.359,1.287,0.173,2.07,,73.09091
PELI,10.17,0.0,10.19,8.98,2.0060182,10.0739,10.03821,221783,221783,,122027288.0,,,1.3988996,,121775048.0,,,0.0,0.0,0.0,0.0,,,-85128.0,,,0.0,,252240.0,,-48050.0,0.267,0.267,,0.021,,
PELIR,0.31,-1.5873001,0.31,0.31,,,,1000,1000,,,,,0.04264099,,,,,0.0,0.0,0.0,0.0,,,-85128.0,,,0.0,,252240.0,,-48050.0,0.267,0.267,,0.021,,
PELIU,10.69,0.0,11.12,10.01,6.793201,10.37148,10.251042,144,144,,,,,1.4704263,,128014400.0,,,0.0,0.0,0.0,0.0,,,-85128.0,,,0.0,,252240.0,,-48050.0,0.267,0.267,,0.021,,
PENG,20.87,-7.1619163,29.8,14.2,30.017353,24.3329,21.186625,1068529,1068529,2.251,1103174400.0,9.486363,74.53571,2.7916,0.8059463,1478828800.0,10.947,1.08,0.28858998,0.018550001,0.06048,0.09869,0.031889997,0.057239998,15461000.0,135087008.0,,530324000.0,87.192,453753984.0,124956752.0,109084000.0,2.246,1.607,0.086,8.584,,27.625
PENN,15.485,-0.7371841,23.08,13.25,-27.576601,18.123,17.72225,3510339,3510339,1.395,2063375744.0,19.852564,,1.0917231,0.30237928,12585399296.0,18.897,1.844,0.40004003,-0.13239999,0.028770002,0.097600006,0.0094800005,-0.36129,-903500032.0,666000000.0,,11172800512.0,572.143,660099968.0,-293062496.0,503900000.0,0.754,0.618,0.048,4.954,2.0,21.08824
PEP,145.08,1.724868,166.89,127.6,-13.216501,145.1876,142.3939,7678869,7678869,0.423,198373720064.0,16.811125,27.581749,10.244316,2.1476922,237353041920.0,13.949,2.57,0.54269004,0.078200005,0.16903,0.18422002,0.08365,0.37162,7223000064.0,17016000512.0,-0.108,50849001472.0,260.19,8661000192.0,7137500160.0,11754999808.0,0.912,0.676,0.027,6.334,,154.04546
PEPG,4.65,9.154926,6.85,0.88,-6.1674,3.7181,2.0486,641027,641027,1.956,319628096.0,-1.7350746,,2.1438453,,82937824.0,-0.819,,0.0,0.0,0.0,0.0,-0.43435,-0.85690004,-96915000.0,-101288000.0,,17864000.0,25.105,74653000.0,-56161624.0,-90018000.0,4.736,4.563,,2.276,1.66667,9.5
PEPS,,0.9442712,29.6,22.0,34.09091,28.5043,26.54815,1153,1153,,,,29.131985,,,,,,,,,,,,,,,,,,,,,,,,,
PERI,9.5,2.7027028,11.79,7.0,1.9845605,9.45,9.49415,517030,517030,1.612,427853216.0,43.18182,,0.5801881,1.0088546,92800920.0,-6.403,0.219,0.33105,-0.01123,-0.07153,-0.03417,-0.012,-0.0067299996,-4762000.0,-14493000.0,,22976000.0,3.338,318979008.0,-9424625.0,34818000.0,3.176,2.977,-0.053,7.589,,14.0
PESI,15.41,3.0080202,16.4999,6.25,1.9073606,11.3652,10.07115,590637,590637,,284625792.0,385.25,,5.1435246,4.6920724,260009920.0,-25.266,4.286,0.08828,-0.19143999,-0.10702,-0.16965,-0.08911,-0.23256001,-11364000.0,-10291000.0,,0.0,,16412000.0,,,1.77,1.537,0.038,0.888,1.0,20.0
PETS,2.69,3.0651402,6.85,2.42,-49.51644,2.6572,3.46015,63153,63153,0.741,56531856.0,-89.66667,,0.6522793,0.24906974,1088908.0,-0.869,0.005,0.30461,-0.02763,-0.27508,-0.0055199997,-0.03253,-0.068959996,-6271000.0,-1253000.0,,996000.0,1.17,54720000.0,-7147500.0,4718000.0,1.257,0.909,-0.22,2.606,,2.75
PETZ,1.03,-1.9047601,1.68,0.65,-16.666668,1.084,1.07995,477,477,1.61,10632966.0,,5.1499996,0.38941398,18.86194,-15156193.0,10.863,-26.886,0.42294,4.7620997,-1.7043201,-2.47493,-0.03026,0.07342,2109273.0,-1395183.0,,2559322.0,9.341,28652160.0,-1779463.0,-233987.0,6.856,6.823,,2.775,,
PEY,,1.0874999,23.22,18.32,-8.709389,20.9732,20.89275,216000,216000,,948880064.0,,15.440297,1.0048153,,,,,,,,,,,,,,,,,,,,,,,,
PEZ,,0.17100044,113.42,76.23,-9.220451,99.7074,95.8854,664,664,,,,30.54956,,,,,,,,,,,,,,,,,,,,,,,,,
PFAI,2.61,6.9672065,4.93,1.3,-39.0,2.35746,2.348331,28395,28395,,30536998.0,,130.5,55.531914,9.282151,30627870.0,31.977,9.31,0.47282,0.08698,0.32321998,0.29114,0.08158,0.18417999,286142.0,957811.0,-0.47,681435.0,26.715,685796.0,-1826636.0,204347.0,1.344,1.258,0.288,0.059,,
PFBC,92.29,0.33702713,99.78,71.9,-3.453344,91.4596,87.8672,53081,53081,0.741,1139771264.0,10.463719,9.704521,1.4694456,4.2004194,700203776.0,,2.58,0.0,0.47551998,0.70975995,0.0,0.018,0.16914,129031000.0,,0.154,379720000.0,,815459008.0,,,,,0.049,66.03,,108.0
PFF,,0.0,33.03,28.7,-4.619151,31.6084,31.03155,1834367,1834367,,13047270400.0,,3.8656087,0.8146309,,,,,,,,,,,,,,,,,,,,,,,,
