Ticker,Date,Gross_Profitability,ROIC,FCF_Yield,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
JILL,2021-09-09,0.7191473862237312,-0.0301849536739534,0.043228927283096,7.0,0,0,1,0,0,0,0,0,0,0,0,0
WSM,2021-09-09,0.7731494448693851,0.835103250827428,0.1006848409296053,5.0,0,0,1,0,0,0,0,0,0,0,0,0
AVAV,2021-09-09,0.1726865018595493,0.0237459958545317,0.0144311049436221,9.0,0,0,0,0,0,0,0,1,0,0,0,0
AVGO,2021-09-09,0.2102530311017396,0.117579908675799,0.0660527151476659,8.0,0,0,0,0,0,0,0,0,0,0,1,0
HQY,2021-09-09,0.1335699862225968,0.0216222886638648,0.0309891981004929,8.0,0,0,0,0,0,0,0,0,0,0,1,0
PVH,2021-09-09,0.3743211458667063,0.0661605757653466,0.0698762985967089,2.0,0,0,1,0,0,0,0,0,0,0,0,0
FL,2021-09-09,0.3858932102834542,0.155750548417424,0.1253903628344401,3.0,0,0,1,0,0,0,0,0,0,0,0,0
BKE,2021-09-09,0.6111741906431432,0.5912570777632593,0.1533802410315173,7.0,0,0,1,0,0,0,0,0,0,0,0,0
AOUT,2021-09-09,0.3788257294376453,0.0889865295781992,0.0824857607838762,0.0,0,0,1,0,0,0,0,0,0,0,0,0
GCO,2021-09-09,0.6315533395232181,0.1940722128399211,0.2345742298087257,5.0,0,0,1,0,0,0,0,0,0,0,0,0
EGAN,2021-09-10,0.5151837853408169,0.1593539002626951,0.0380494269405773,4.0,0,0,0,0,0,0,0,0,0,0,1,0
FARM,2021-09-10,0.2833736679230546,-0.1624728368871201,-0.0792433554044812,0.0,0,0,0,1,0,0,0,0,0,0,0,0
PLAB,2021-09-10,0.1146769629500755,0.068340938757457,0.058962598728822,9.0,0,0,0,0,0,0,0,0,0,0,1,0
