Ticker,Date,Gross_Profitability,ROIC,FCF_Yield,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
CSSE,2021-08-11,0.10226177692228726,-0.20617156178271487,-0.09409472799789832,2.0,0,0,1,0,0,0,0,0,0,0,0,0
MNKD,2021-08-11,0.18006970184856264,-0.16653766839686723,-0.05074295999861553,7.0,0,0,0,0,0,0,1,0,0,0,0,0
ENS,2021-08-11,0.20200174166886561,0.09563327710031057,0.03417455682374925,4.0,0,0,0,0,0,0,0,0,0,0,1,0
HIMS,2021-08-11,0.4334007287912821,-0.2517044640236953,-0.009318214418402481,6.0,0,0,0,0,0,0,1,0,0,0,0,0
SFT,2021-08-11,0.07193345850842944,-0.36057846576009384,-0.32460032156342633,0.0,0,0,1,0,0,0,0,0,0,0,0,0
KRMD,2021-08-11,0.31232457037013317,-0.11804528380429427,-0.04318735705120596,4.0,0,0,0,0,0,0,1,0,0,0,0,0
HAE,2021-08-11,0.2318002527049856,0.02532211160149167,0.017199831846788034,8.0,0,0,0,0,0,0,1,0,0,0,0,0
BLI,2021-08-11,0.17852722563016968,-0.2107811953306403,-0.017114298574359924,0.0,0,0,0,0,0,0,1,0,0,0,0,0
GENC,2021-08-11,0.09580025707082687,-0.0018811585547924754,0.13056238853080074,5.0,0,0,0,0,0,0,0,1,0,0,0,0
CYAN,2021-08-11,0.3790547694677062,0.015888089411592827,-0.0060618000515253005,6.0,0,0,0,1,0,0,0,0,0,0,0,0
AEYE,2021-08-11,0.4969865834822375,-0.36036969854020906,-6.8210345336793035,2.0,0,0,0,0,0,0,0,0,0,0,1,0
KAI,2021-08-11,0.294876228294783,0.12711421120182492,0.050579611045011554,6.0,0,0,0,0,0,0,0,1,0,0,0,0
RDVT,2021-08-11,0.5245611447116094,-0.07626330056236598,0.020529825625619946,5.0,0,0,0,0,0,0,0,0,0,0,1,0
PAYS,2021-08-11,0.07386868028191809,-0.9153216512245512,0.2124517096995911,7.0,0,0,0,0,0,0,0,1,0,0,0,0
RRX,2021-08-11,0.19701698891844902,0.10563986653750941,0.054722379445626676,6.0,0,0,0,0,0,0,0,1,0,0,0,0
HCKT,2021-08-11,0.949745638490501,1.3592956644015433,0.07468862756732404,8.0,0,0,0,0,0,0,0,0,0,0,1,0
EGY,2021-08-11,0.38356390803457796,0.44841106066859265,-0.06726395749190323,9.0,0,0,0,0,1,0,0,0,0,0,0,0
GO,2021-08-11,0.37115629258010907,0.0741926084041048,0.010560666019607583,9.0,0,0,0,1,0,0,0,0,0,0,0,0
PXLW,2021-08-11,0.3028730101131218,-0.5826412892220676,-0.06881711374774331,3.0,0,0,0,0,0,0,0,0,0,0,1,0
NVEE,2021-08-11,0.36054308803378604,0.0960822007038058,0.06764730783919572,8.0,0,0,0,0,0,0,0,1,0,0,0,0
CGRN,2021-08-11,0.05390906692463284,-0.21450872824259584,-0.1790764359453574,3.0,0,0,0,0,0,0,0,1,0,0,0,0
GIFI,2021-08-11,-0.03775777949456775,-0.15037411456662533,-0.35646607313146017,5.0,0,0,0,0,0,0,0,1,0,0,0,0
RADI,2021-08-11,0.04816921936347489,-0.03351956738040022,-0.41314643263329465,7.0,0,1,0,0,0,0,0,0,0,0,0,0
ADMA,2021-08-11,-0.040623297781258595,-0.2900803016685939,-0.7633979840963899,9.0,0,0,0,0,0,0,1,0,0,0,0,0
HDSN,2021-08-11,0.23782003545169444,0.11050636667745764,-0.0042938881174469385,9.0,0,0,0,0,0,0,0,1,0,0,0,0
OCX,2021-08-11,-0.0032359540426875333,-0.3854470092734965,-0.0962958989334061,0.0,0,0,0,0,0,0,1,0,0,0,0,0
NUE,2021-08-11,0.2312036720792716,0.2386379936633392,0.04847834262186816,8.0,1,0,0,0,0,0,0,0,0,0,0,0
COHR,2021-08-11,0.28420185513055346,0.08274293042245578,-0.0019302629394853694,5.0,0,0,0,0,0,0,0,0,0,0,1,0
WEN,2021-08-11,0.24092188042518553,0.12043674976047429,0.07862075228006275,6.0,0,0,1,0,0,0,0,0,0,0,0,0
LGL,2021-08-11,0.24415309108504804,0.0282661583607133,0.029385367212198317,8.0,0,0,0,0,0,0,0,0,0,0,1,0
IGC,2021-08-11,0.002700034839159215,-0.28183899394737666,-0.10945466518201047,1.0,0,0,0,0,0,0,0,1,0,0,0,0
DM,2021-08-11,-0.002120579953044301,-0.11809396089740355,-0.05232340941255993,1.0,0,0,0,0,0,0,0,1,0,0,0,0
LRN,2021-08-11,0.3391244641941245,0.1000580658544694,0.09781797375501039,8.0,0,0,0,1,0,0,0,0,0,0,0,0
LVVR,2021-08-12,0.02931603546403722,-0.055317704422027,-0.059095658796648895,9.0,0,0,0,0,0,0,0,0,0,1,0,0
PGTI,2021-08-12,0.27863638032434473,0.09230994967491296,0.003362217490256885,8.0,1,0,0,0,0,0,0,0,0,0,0,0
CASI,2021-08-12,0.0888559843903519,-0.2915463848516036,-0.1884314330629995,1.0,0,0,0,0,0,0,1,0,0,0,0,0
INUV,2021-08-12,0.853711465185342,-0.2673120127704755,-0.052929427553905714,5.0,0,0,1,0,0,0,0,0,0,0,0,0
EYE,2021-08-12,0.6083113570058618,0.2547802358444596,0.05883575763498106,5.0,0,0,1,0,0,0,0,0,0,0,0,0
SMSI,2021-08-12,0.3252246680007277,-0.0691620700911503,0.01784091511411656,3.0,0,0,0,0,0,0,0,0,0,0,1,0
DIS,2021-08-12,0.09785333867402496,0.01666325774039322,0.0048351089780181095,6.0,0,0,1,0,0,0,0,0,0,0,0,0
THMO,2021-08-12,0.1826987457037004,-0.43899922369301664,-0.4207191518498891,0.0,0,0,0,0,0,0,1,0,0,0,0,0
LSEA,2021-08-12,0.1267907566518972,0.037478176123245624,0.001456462836647286,7.0,0,0,0,0,0,0,0,0,0,1,0,0
EMAN,2021-08-12,0.10339173893289612,-0.5897253174397512,-0.04132611326688065,2.0,0,0,0,0,0,0,0,0,0,0,1,0
GRWG,2021-08-12,0.20229128160283716,0.07051384180946155,-0.005777711214095215,0.0,0,0,1,0,0,0,0,0,0,0,0,0
